Date,Open,High,Low,Close,Adj Close,Volume,tickt,updated_at
2017-06-15,146.960007,153.600006,146.5,152.369995,152.235962,24095600,NVDA,2017-10-21 04:28:13
2017-06-16,152.759995,154.699997,150.240005,151.619995,151.486618,23124000,NVDA,2017-10-21 04:28:13
2017-06-19,153.410004,157.529999,153.259995,157.320007,157.181625,19454400,NVDA,2017-10-21 04:28:13
2017-06-20,159.029999,161.740005,156.919998,157.089996,156.951813,27386100,NVDA,2017-10-21 04:28:13
2017-06-21,158.210007,159.619995,155.699997,159.470001,159.329727,17066300,NVDA,2017-10-21 04:28:13
2017-06-22,159.800003,160.339996,157.399994,158.369995,158.230682,11728300,NVDA,2017-10-21 04:28:13
2017-06-23,158.679993,159.320007,153.220001,153.830002,153.694687,27214700,NVDA,2017-10-21 04:28:13
2017-06-26,155.160004,156.600006,148.330002,152.149994,152.016159,26599000,NVDA,2017-10-21 04:28:13
2017-06-27,151.440002,151.789993,146.350006,146.580002,146.451065,24987300,NVDA,2017-10-21 04:28:13
2017-06-28,149.320007,151.940002,145.75,151.75,151.616516,24873700,NVDA,2017-10-21 04:28:13
2017-06-29,150.600006,150.720001,144.080002,146.679993,146.550964,26610600,NVDA,2017-10-21 04:28:13
2017-06-30,147.380005,147.929993,143.5,144.559998,144.432831,18276500,NVDA,2017-10-21 04:28:13
2017-07-03,145.050003,145.649994,138.580002,139.330002,139.207443,17726800,NVDA,2017-10-21 04:28:13
2017-07-05,141.899994,144.220001,141.130005,143.050003,142.924164,20504700,NVDA,2017-10-21 04:28:13
2017-07-06,141.869995,145.380005,139.759995,143.479996,143.35379,18657100,NVDA,2017-10-21 04:28:13
2017-07-07,145.779999,147.5,144.850006,146.759995,146.630905,16374300,NVDA,2017-10-21 04:28:13
2017-07-10,149.740005,154.0,148.679993,153.699997,153.564789,23962300,NVDA,2017-10-21 04:28:13
2017-07-11,153.850006,156.190002,152.149994,155.880005,155.742889,18948900,NVDA,2017-10-21 04:28:13
2017-07-12,158.300003,163.0,156.559998,162.509995,162.36705,28630200,NVDA,2017-10-21 04:28:13
2017-07-13,163.0,166.300003,158.75,160.630005,160.488708,34228300,NVDA,2017-10-21 04:28:13
2017-07-14,161.289993,165.009995,161.009995,164.949997,164.804901,23548700,NVDA,2017-10-21 04:28:13
2017-07-17,166.330002,167.5,161.75,164.25,164.105515,23269800,NVDA,2017-10-21 04:28:13
2017-07-18,161.779999,166.550003,161.300003,165.960007,165.814026,19416000,NVDA,2017-10-21 04:28:13
